Tracing route to arin.net [199.43.0.44] over a maximum of 30 hops

1        1 ms    1 ms    0 ms    192.168.158.2
2        1 ms    1 ms    1 ms    192.168.1.1
3        2 ms    2 ms    2 ms    192.168.0.1
4       27 ms   26 ms   26 ms    209.181.206.17
5       32 ms   26 ms   27 ms    209.181.211.129
6       46 ms   40 ms   34 ms    67.14.8.73
7       32 ms   33 ms   33 ms    129.250.8.173
8       33 ms   36 ms   66 ms    129.250.4.213
9       53 ms   56 ms   59 ms    129.250.2.138
10      53 ms   53 ms   52 ms    129.250.2.133
11      54 ms   55 ms   55 ms    129.250.196.154
12      53 ms   53 ms   53 ms    199.43.0.130
13      53 ms   54 ms   53 ms    199.43.0.138
14      53 ms   53 ms   52 ms    199.43.0.43
15      53 ms   54 ms   52 ms    199.43.0.43
16      53 ms   53 ms   53 ms    199.43.0.43
17      53 ms   52 ms   53 ms    199.43.0.43
18      52 ms   53 ms   54 ms    199.43.0.43
19      52 ms   53 ms   52 ms    199.43.0.43
20      53 ms   52 ms   53 ms    199.43.0.43
21      52 ms   52 ms   53 ms    199.43.0.43
22      52 ms   53 ms   52 ms    199.43.0.43
23      53 ms   53 ms   53 ms    199.43.0.43
24      52 ms   53 ms   52 ms    199.43.0.43
25      52 ms   52 ms   53 ms    199.43.0.43
26      54 ms   53 ms   53 ms    199.43.0.43
27      52 ms   53 ms   53 ms    199.43.0.43
28      53 ms   53 ms   53 ms    199.43.0.43
29      53 ms   52 ms   52 ms    199.43.0.43
30      52 ms   53 ms   53 ms    199.43.0.43

Trace complete.
