Tracing route to ripe.net [193.0.6.139] over a maximum of 30 hops

1        1 ms    0 ms    0 ms    192.168.158.2
2        1 ms    1 ms    1 ms    192.168.1.1
3        2 ms    1 ms    1 ms    192.168.0.1
4       26 ms   27 ms   26 ms    209.181.206.17
5       27 ms   42 ms   27 ms    209.181.211.129
6       52 ms   57 ms   51 ms    205.171.134.90
7       52 ms   51 ms   51 ms    63.146.27.62
8      138 ms  129 ms  129 ms    195.2.8.90
9     TIME    TIME    TIME       Request timed out
10    TIME    TIME    TIME       Request timed out
11    TIME    TIME    TIME       Request timed out
12    TIME    TIME    TIME       Request timed out
13    TIME    TIME    TIME       Request timed out
14    TIME    TIME    TIME       Request timed out
15    TIME    TIME    TIME       Request timed out
16    TIME    TIME    TIME       Request timed out
17    TIME    TIME    TIME       Request timed out
18    TIME    TIME    TIME       Request timed out
19    TIME    TIME    TIME       Request timed out
20    TIME    TIME    TIME       Request timed out
21    TIME    TIME    TIME       Request timed out
22    TIME    TIME    TIME       Request timed out
23    TIME    TIME    TIME       Request timed out
24    TIME    TIME    TIME       Request timed out
25    TIME    TIME    TIME       Request timed out
26    TIME    TIME    TIME       Request timed out
27    TIME    TIME    TIME       Request timed out
28    TIME    TIME    TIME       Request timed out
29    TIME    TIME    TIME       Request timed out
30    TIME    TIME    TIME       Request timed out

Trace complete.
